sentence,label
"스위트룸 예약하면 조식은 주시나요?[SEP]네, 조식 포함가격이에요[SEP]좀 더 저렴한 방은 없을까요?[SEP]3일 250000원짜리 방 있는데 이건 어떠세요?[SEP]네, 그거로 예약해주세요",5
그렇게 되면 사람들이 운동에서 멀어지죠.[SEP]저도 몸무게 문제는 없어요.[SEP]제가 운동을 하므로 문제가 없다고 생각해요.[SEP]당신은 운동하네요.[SEP]사람들이 항상 어떻게 날씬하게 유지하냐고 물어봐요.,3
그들은 의회를 꽤 잘 견제하고 있지.[SEP]최근은 모르겠지만 지난 10년 동안은 그랬지.[SEP]내 개인적인 생각이야.[SEP]그 얘긴 정말 하면 안 될 것 같아.[SEP]최근에 일어난 일인지는 모르겠어.,4
내 생각엔 그 사람들 중 한 명은 흡연자 관련 조사일 거야.[SEP]그 질문은 흡연과 관련해야 할 조사보다 훨씬 깊이 들어가지.[SEP]그 사람들은 묻기 시작할걸.[SEP]심지어 소득 수준까지도.[SEP]네가 즉석조리 식품을 사든 안 사든 상관없는 일이라고 생각해.,6
그것이 우리에게 정말 많은 도움을 주었어.[SEP]내 남편은 휴가를 얻어.[SEP]이건 우리 모두에게 좋은 일이지.[SEP]유연한 근로시간은 나에게도 아주 중요해.[SEP]그게 큰 차이를 만들거든.,6
"#이름# 고객님 오늘 금요일과 내일 토요일 이틀로 예약하셨는데 맞습니까?[SEP]여기 603호 키 있고, 오른쪽으로 돌아가면 엘리베이터가 있어요[SEP]비치되어 있는 타월 말고 추가로 3장 더 주실 수 있나요?[SEP]그럼요. 603호로 3장 더 보내드리겠습니다[SEP]스카이라운지는 몇 층에서 내리면 되나요?",5
하려던 것과 비교하면.[SEP]원하던 것과 비교하면 대충 한 거 같다는 거지.[SEP]그래.[SEP]손님 접대할 때 콜레스테롤과 고식이섬유가 네가 즐기는 방식을 바꾼다고 생각해?[SEP]그건 먹는 방식을 바꾸는 거지 즐기는 방식을 바꾸는 건 아닌 것 같아.,1
대부분은 그냥 청바지나 맨투맨을 입어요.[SEP]손님이 올 때만 옷을 갖춰 입습니다.[SEP]더 높은 직위를 위해 일하는 법률 부서 사람들은 갖춰입죠.[SEP]항상 복도에서는 여러 가지 복장을 입은 사람들이 섞여있어요.[SEP]캐주얼해서 좋네요.,6
"아, 가끔 낚시를 하러 가기는 했지만 낚시꾼 수준으로 자주 가지는 않았어요.[SEP]그래요?[SEP]그리고, 음, 하지만.[SEP]네, 저는 낚시 가는 걸 좋아해서요.[SEP]사람들에게 추천하고 싶어요.",3
"엑스트라 베드는 안 되나요?[SEP]엑스트라 베드는 트윈 객실만 가능하세요[SEP]트윈은 다 싱글 베드인가요?[SEP]네, 트윈은 싱글 베드만 있어요[SEP]와이파이는 되나요?",5
